Número da Compra;Número do Item;Descrição;Descrição Detalhada;Início da Vigência;Fim da Vigência;Unidade;Qtd. Autorizada;Fornecedor;Val. Unitário;Qtd. Saldo;Marca;Tipo de Compra;Número do Pregão;Ano do Pregão;UASG;Objeto;Unidade de Fornecimento;UG;Quantidade Empenhada;Início da Vigência;Fim da Vigência;Capacidade de Empenho
160224-90003/2024;29;444715 - Telha;Telha Material: Alumínio E Zinco , Tipo: Trapezoidal , Comprimento: 5 M, Largura: 1,10;;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;50;44.207.436/0001-21 - JORDAO LICITACOES E SERVICOS LTDA;188.1;50;5x1,10m/Trapezoidal;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Unidade;;;;30/04/2025;
160224-90003/2024;30;450336 - Telha;Telha Material: Zinco , Tipo: Trapezoidal , Comprimento: 2,20 M, Largura: 110;;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;50;44.207.436/0001-21 - JORDAO LICITACOES E SERVICOS LTDA;87.12;50;2,20x1,10m/Trapezoid;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Unidade;;;;30/04/2025;
160224-90003/2024;31;441409 - Vergalhão;Vergalhão Material: Aço Carbono , Bitola: 1/2 POL, Comprimento: 1 M, Características Adicionais: Roscado;;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;30;07.645.527/0001-12 - BIGPAR COMERCIO DE PARAFUSOS, FERRAMENTAS E MATERIAIS ELETRICOS LTDA;27.24;30;CE;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Unidade;;;;30/04/2025;
160224-90003/2024;32;236983 - Vergalhão Armação Concreto;Vergalhão Armação Concreto Material: Ferro , Tipo: Ca-50 , Comprimento: 12 M, Bitola: 1/4 POL, Aplicação: Armação Vigas/Pilares E Lajes;;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;50;18.955.309/0001-09 - GLOBAL IMPORTADORA E COMERCIO LTDA;23.0;50;1/4;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Barra 12,00 M;;;;30/04/2025;
160224-90003/2024;33;290432 - Prego com cabeça;Prego Com Cabeça Material: Ferro Comum , Tipo Cabeça: Liso , Tipo Corpo: Liso , Tipo Ponta: Comum , Acabamento Superficial: Polido , Bitola: 10 X 10;;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;5;18.955.309/0001-09 - GLOBAL IMPORTADORA E COMERCIO LTDA;20.0;5;10X10;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Quilograma;;;;30/04/2025;
160224-90003/2024;34;372868 - Prego sem cabeça;Prego Sem Cabeça Material: Aço Carbono , Tipo Ponta: Normal , Bitola: 12 X 12;;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;5;18.955.309/0001-09 - GLOBAL IMPORTADORA E COMERCIO LTDA;20.0;5;12X12;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Quilograma;;;;30/04/2025;
160224-90003/2024;35;317910 - Prego com cabeça;Prego Com Cabeça Material: Aço , Tipo Cabeça: Chata , Tipo Corpo: Liso , Tipo Ponta: Comum , Bitola: 17 X 27;;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;30;18.955.309/0001-09 - GLOBAL IMPORTADORA E COMERCIO LTDA;12.0;30;17X27;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Quilograma;;;;30/04/2025;
160224-90003/2024;36;335587 - Prego sem cabeça;Prego Sem Cabeça Material: Aço Carbono , Bitola: 13 X 18;;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;10;18.955.309/0001-09 - GLOBAL IMPORTADORA E COMERCIO LTDA;17.0;10;13X18;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Quilograma;;;;30/04/2025;
160224-90003/2024;37;443410 - Prego com cabeça;Prego Com Cabeça Material: Arame , Tipo Cabeça: Cônica Axadrezada , Tipo Corpo: Liso , Tipo Ponta: Diamante , Acabamento Superficial: Polido , Bitola: 25 X 72;;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;5;18.955.309/0001-09 - GLOBAL IMPORTADORA E COMERCIO LTDA;14.5;5;25X72;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Quilograma;;;;30/04/2025;
160224-90003/2024;38;214383 - Prego com cabeça;Prego Com Cabeça Material: Arame Para Prego , Tipo Cabeça: Cônica Axadrezada , Tipo Corpo: Liso , Tipo Ponta: Diamante , Acabamento Superficial: Polido , Bitola: 19 X 36;;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;5;18.955.309/0001-09 - GLOBAL IMPORTADORA E COMERCIO LTDA;14.0;5;19X36;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Quilograma;;;;30/04/2025;
